Date,Variação Total (R$),Variação Percentual,Nome
2022-02-16,117.32999999999996,0.07855148727630601,VALE3
2022-02-17,48.03002746582027,0.032155715429660114,VALE3
2022-02-18,51.27003295898433,0.034324872936448036,VALE3
2022-02-21,52.53002746582027,0.035168429081269714,VALE3
2022-02-22,79.34998901367183,0.05312417670146141,VALE3
2022-02-23,62.790021972656206,0.04203741252931126,VALE3
2022-02-24,82.05001647949214,0.054931823280572,VALE3
2022-02-25,167.3699780273437,0.11205284837169094,VALE3
2022-03-02,300.03002746582024,0.20086767991980836,VALE3
2022-03-03,300.9299450683593,0.2014701674856958,VALE3
2022-03-04,341.7900219726562,0.22882565892911844,VALE3
2022-03-07,397.58999450683586,0.26618328982093487,VALE3
2022-03-08,314.60998352050774,0.2106288427299925,VALE3
2022-03-09,201.75004394531246,0.1350700248015375,VALE3
2022-03-10,257.73005493164055,0.17254818998282118,VALE3
2022-03-11,248.55001647949214,0.16640222839013452,VALE3
2022-03-14,155.12997253417964,0.10385826356168337,VALE3
2022-03-15,107.7900219726562,0.07216454904540903,VALE3
2022-03-16,146.6699505615234,0.09819434718614106,VALE3
2022-03-17,203.73005493164058,0.13639562616350376,VALE3
2022-03-18,235.94991943359355,0.1256369277559961,VALE3
2022-03-21,295.7899462890623,0.15750011783041917,VALE3
2022-03-22,247.16996643066386,0.1316112982384008,VALE3
2022-03-23,243.86993286132792,0.12985411993489349,VALE3
2022-03-24,253.99008056640605,0.13524282389866293,VALE3
2022-03-25,217.03007385253886,0.11556262352174285,VALE3
2022-03-28,219.44991943359355,0.11685112561226041,VALE3
2022-03-29,201.40992614746074,0.10724531884339483,VALE3
2022-03-30,231.1100604248045,0.12305983420115996,VALE3
2022-03-31,225.16996643066386,0.11989689538008652,VALE3
2022-04-01,255.08997985839824,0.13582849041729794,VALE3
2022-04-04,276.6500537109373,0.1473086445429186,VALE3
2022-04-05,214.39001342773417,0.11415686300417671,VALE3
2022-04-06,246.07006713867167,0.13102563171976578,VALE3
2022-04-07,258.8299395751951,0.13781991745349909,VALE3
2022-04-08,215.27003356933574,0.11462544984336542,VALE3
2022-04-11,189.9699999999998,0.10115386868154386,VALE3
2022-04-12,176.1100604248045,0.09377382705537429,VALE3
